city_id,week_start,index_score_sum,weighted_score_sum,games
arizona,2022-03-15,-1,-1,3
arizona,2022-03-22,-4,-4,4
arizona,2022-03-29,0,0,4
arizona,2022-04-05,-2,-2,2
arizona,2022-04-12,-4,-4,4
arizona,2022-04-19,-3,-3,3
arizona,2022-04-26,3,3,3
arizona,2022-10-11,-1,-1,3
arizona,2022-10-18,-2,-2,2
arizona,2022-10-25,-1,-1,3
arizona,2022-11-01,1,1,3
arizona,2022-11-08,0,0,4
arizona,2022-11-15,-2,-2,2
arizona,2022-11-22,-1,-1,3
arizona,2022-11-29,-3,-3,3
arizona,2022-12-06,1,1,3
arizona,2022-12-13,-2,-2,4
arizona,2022-12-20,0,0,2
arizona,2022-12-27,1,1,3
arizona,2023-01-03,-4,-4,4
arizona,2023-01-10,-4,-4,4
arizona,2023-01-17,0,0,4
arizona,2023-01-24,-1,-1,3
arizona,2023-01-31,1,1,1
arizona,2023-02-07,-1,-1,3
arizona,2023-02-14,1,1,3
arizona,2023-02-21,-2,-2,2
arizona,2023-02-28,-2,-2,4
arizona,2023-03-07,2,2,4
arizona,2023-03-14,3,3,3
arizona,2023-03-21,-5,-5,5
arizona,2023-03-28,-3,-3,3
arizona,2023-04-04,-1,-1,3
arizona,2023-04-11,-1,-1,1
arizona,2023-10-10,0,0,2
arizona,2023-10-17,1,1,3
arizona,2023-10-24,-1,-1,3
arizona,2023-10-31,-1,-1,3
arizona,2023-11-07,1,1,3
arizona,2023-11-14,-2,-2,4
arizona,2023-11-21,0,0,2
arizona,2023-11-28,4,4,4
arizona,2023-12-05,-3,-3,3
arizona,2023-12-12,1,1,3
arizona,2023-12-19,1,1,3
arizona,2023-12-26,2,2,2
arizona,2024-01-02,-3,-3,3
arizona,2024-01-09,1,1,3
arizona,2024-01-16,0,0,4
arizona,2024-01-23,-3,-3,3
arizona,2024-02-06,-3,-3,3
arizona,2024-02-13,-4,-4,4
arizona,2024-02-20,-2,-2,2
arizona,2024-02-27,0,0,4
arizona,2024-03-05,-2,-2,4
arizona,2024-03-12,1,1,3
arizona,2024-03-19,-1,-1,3
arizona,2024-03-26,1,1,3
arizona,2024-04-02,1,1,3
arizona,2024-04-09,0,0,4
arizona,2024-04-16,1,1,1
arlington-tx,2020-07-21,-1,-1,3
arlington-tx,2020-07-28,-1,-1,5
arlington-tx,2020-08-04,-1,-1,7
arlington-tx,2020-08-11,2,2,6
arlington-tx,2020-08-18,-5,-5,7
arlington-tx,2020-08-25,-3,-3,5
arlington-tx,2020-09-01,-5,-5,7
arlington-tx,2020-09-08,2,2,6
arlington-tx,2020-09-15,-3,-3,7
arlington-tx,2020-09-22,0,0,6
arlington-tx,2021-03-30,-2,-2,4
arlington-tx,2021-04-06,-2,-2,6
arlington-tx,2021-04-13,3,3,7
arlington-tx,2021-04-20,-4,-4,6
arlington-tx,2021-04-27,1,1,7
arlington-tx,2021-05-04,3,3,7
arlington-tx,2021-05-11,-4,-4,6
arlington-tx,2021-05-18,0,0,6
arlington-tx,2021-05-25,-6,-6,6
arlington-tx,2021-06-01,-4,-4,6
arlington-tx,2021-06-08,-1,-1,5
arlington-tx,2021-06-15,-4,-4,6
arlington-tx,2021-06-22,2,2,6
arlington-tx,2021-06-29,-1,-1,7
arlington-tx,2021-07-06,-1,-1,5
arlington-tx,2021-07-13,-3,-3,3
arlington-tx,2021-07-20,-6,-6,6
arlington-tx,2021-07-27,2,2,6
arlington-tx,2021-08-03,-6,-6,6
arlington-tx,2021-08-10,0,0,6
arlington-tx,2021-08-17,-4,-4,6
arlington-tx,2021-08-24,-1,-1,7
arlington-tx,2021-08-31,0,0,6
arlington-tx,2021-09-07,2,2,6
arlington-tx,2021-09-14,-3,-3,7
arlington-tx,2021-09-21,-2,-2,6
arlington-tx,2021-09-28,0,0,6
arlington-tx,2022-04-05,-2,-2,4
arlington-tx,2022-04-12,-3,-3,5
arlington-tx,2022-04-19,1,1,7
arlington-tx,2022-04-26,-2,-2,6
arlington-tx,2022-05-03,0,0,4
arlington-tx,2022-05-10,1,1,7
arlington-tx,2022-05-17,0,0,6
arlington-tx,2022-05-24,3,3,7
arlington-tx,2022-05-31,-2,-2,6
arlington-tx,2022-06-07,0,0,6
arlington-tx,2022-06-14,-2,-2,6
arlington-tx,2022-06-21,2,2,6
arlington-tx,2022-06-28,-2,-2,6
arlington-tx,2022-07-05,0,0,6
arlington-tx,2022-07-12,-4,-4,6
arlington-tx,2022-07-19,-1,-1,5
arlington-tx,2022-07-26,-1,-1,7
arlington-tx,2022-08-02,-2,-2,6
arlington-tx,2022-08-09,1,1,7
